name,address,city,state_or_region,postal_code,country,category,subcategory,services_search_terms,description,website,phone,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,regulated_profession,location_type,languages,hours,price_range,address_enrichment_note,notes
Pronto Restaurant,"Aga Khan Walk, CBD Nairobi",Nairobi,Nairobi County,,Kenya,food/groceries,restaurant,"restaurant, Kenyan food, casual dining",Restaurant offering diverse menu and casual dining.,https://prontorestaurant.co.ke/,+254 718 047962,,,,https://prontorestaurant.co.ke/contact/,Pronto Restaurant official contact page,,,false,physical,English,,,,Source basis: official public website/contact page confirms current destination and physical Nairobi address; address-backed coordinates are added only by guarded staging geocoding.
Big Square,"2nd Floor, Lavington Curv, James Gichuru Road",Nairobi,Nairobi County,,Kenya,food/groceries,restaurant,"fried chicken, burgers, breakfast, coffee, salads, delivery",Restaurant and same-day Nairobi food delivery.,https://bigsquare.co.ke/,+254 714 781351,https://www.instagram.com/bigsquareke/,https://www.facebook.com/BigSquareKenya/,,https://bigsquare.co.ke/pages/contact,BigSquare official contact page,,,false,physical,English,Sun–Thu 6:00am–10:30pm; Fri–Sat 6:00am–11:00pm,,,Source basis: official public website/contact page confirms current destination and physical Nairobi address; address-backed coordinates are added only by guarded staging geocoding.
Amaica The Restaurant – Peponi Branch,"Getathuru Gardens, off Peponi Road, Westlands",Nairobi,Nairobi County,,Kenya,food/groceries,restaurant,"Kenyan cuisine, dining, events",Restaurant branch serving Nairobi diners.,https://www.amaica.co.ke/,+254 716 687248,https://www.instagram.com/amaicakenya/,https://www.facebook.com/amaicarestaurant/,,https://www.amaica.co.ke/contact/,Amaica official contact page,,,false,physical,English,Current hours 9:00am–10:00pm,,,Source basis: official public website/contact page confirms current destination and physical Nairobi address; address-backed coordinates are added only by guarded staging geocoding.
Amaica The Restaurant – UN Branch,"UN Complex, off Gigiri Avenue",Nairobi,Nairobi County,,Kenya,food/groceries,restaurant,"Kenyan cuisine, dining",Restaurant branch at UN Complex.,https://www.amaica.co.ke/,+254 743 913843,https://www.instagram.com/amaicakenya/,https://www.facebook.com/amaicarestaurant/,,https://www.amaica.co.ke/contact/,Amaica official contact page,,,false,physical,English,Current hours 7:00am–5:00pm,,,Source basis: official public website/contact page confirms current destination and physical Nairobi address; address-backed coordinates are added only by guarded staging geocoding.
Amaica The Restaurant – JKIA Branch,"Level 2, International Departures Lounge, Terminal 1A, Jomo Kenyatta International Airport",Nairobi,Nairobi County,,Kenya,food/groceries,restaurant,"Kenyan cuisine, airport dining",Restaurant branch in JKIA Terminal 1A.,https://www.amaica.co.ke/,+254 716 686254,https://www.instagram.com/amaicakenya/,https://www.facebook.com/amaicarestaurant/,,https://www.amaica.co.ke/contact/,Amaica official contact page,,,false,physical,English,Open 24 hours,,,Source basis: official public website/contact page confirms current destination and physical Nairobi address; address-backed coordinates are added only by guarded staging geocoding.
Hash Grill & Catering – Pangani Branch,"Shopping Center, Agoi Road, Pangani",Nairobi,Nairobi County,,Kenya,food/groceries,restaurant/catering,"grilled meats, tikka, snacks, juices, smoothies, catering, events",Dine-in restaurant and catering venue.,https://www.hashgrill.co.ke/,+254 718 730000,,,,https://www.hashgrill.co.ke/,Hash Grill official website,,,false,physical,English,Daily 8:00am–11:00pm,,,Source basis: official public website/contact page confirms current destination and physical Nairobi address; address-backed coordinates are added only by guarded staging geocoding.
Hash Grill & Catering – Ngara Branch,"Ayden Plaza, Ngara Road",Nairobi,Nairobi County,,Kenya,food/groceries,restaurant/catering,"grilled meats, tikka, snacks, juices, smoothies, catering, events",Dine-in restaurant and catering venue.,https://www.hashgrill.co.ke/,+254 714 771892,,,,https://www.hashgrill.co.ke/,Hash Grill official website,,,false,physical,English,Daily 8:00am–11:00pm,,,Source basis: official public website/contact page confirms current destination and physical Nairobi address; address-backed coordinates are added only by guarded staging geocoding.
Tribe Hotel,"Limuru Road, The Village Market, Gigiri",Nairobi,Nairobi County,,Kenya,housing,hotel,"hotel, lodging, dining, travel accommodation",Hotel at The Village Market in Gigiri.,https://www.tribe-hotel.com/,+254 20 720 0000 / +254 732 186000,,,,https://www.tribe-hotel.com/contact/,Tribe Hotel official contact page,,,false,physical,English,,,,Source basis: official public website/contact page confirms current destination and physical Nairobi address; address-backed coordinates are added only by guarded staging geocoding.
Nairobi National Museum,Museum Hill,Nairobi,Nairobi County,,Kenya,experiences,museum/cultural attraction,"museum, galleries, Kenyan history, culture, botanical gardens, night tours",National museum with permanent and temporary galleries and visitor programs.,https://museums.or.ke/nairobi-national-museum/,020 8164134/6; +254 721 308485,,,,https://museums.or.ke/nairobi-national-museum/,National Museums of Kenya official website,,,false,physical,English,Daily 8:30am–5:30pm; night tours 6:00pm–10:00pm for organized groups,,,Source basis: official public website/contact page confirms current destination and physical Nairobi address; address-backed coordinates are added only by guarded staging geocoding.
Kenyatta National Hospital,Hospital Road,Nairobi,Nairobi County,,Kenya,health/dental,hospital,"hospital, emergency care, referrals, medical services",Public tertiary hospital with 24-hour operation.,https://knh.or.ke/,020 2726300; 0709 854000; 0730 643000,,,,https://knh.or.ke/index.php/contact/,Kenyatta National Hospital official contact page,,,true,physical,English,Open 24 hours,,,Source basis: official public website/contact page confirms current destination and physical Nairobi address; address-backed coordinates are added only by guarded staging geocoding.
