name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,notes
Butter's Soul Food To Go,2730 West Girard Avenue,Philadelphia,PA,19130,USA,food,soul food restaurant,soul food; takeout; catering; private parties,"North Philadelphia soul food restaurant offering homemade-style meals, takeout, catering, and private events; the official site identifies Kevin Bell as owner/operator.",https://butterssoulfood.com/,,,,https://butterssoulfood.com/,Butter's Soul Food To Go,Owner/operator: Kevin Bell,https://butterssoulfood.com/,Official site lists current hours and location.
South Restaurant & Jazz Club,600 N Broad St,Philadelphia,PA,19130,USA,nightlife,jazz club and restaurant,Southern dining; jazz; dinner; live music; private events,"Southern restaurant and jazz club with dinner reservations, live performances, tickets, and private events.",https://www.southjazzkitchen.com/,https://www.instagram.com/southjazzkitchen/,https://www.facebook.com/SouthRestaurant,,https://www.southjazzkitchen.com/,South Restaurant & Jazz Club,,,"Official site lists address, reservations, jazz programming, and social links."
Queen Bee African Braiding & American Hair Styles,3800 N Broad St,Philadelphia,PA,19140,USA,beauty,braiding salon,African braiding; knotless box braids; cornrows; faux locs; crochet braids; sew-ins; kids braiding; wash and press,North Philadelphia salon specializing in African braiding and American hair styles; walk-ins are welcome seven days a week.,https://queenbeeafricansalon.com/,https://www.instagram.com/queenbeehairsalon/,https://www.facebook.com/100044565333868/,https://www.tiktok.com/@queenbeehairsalonphilly,https://queenbeeafricansalon.com/,Queen Bee African Braiding & American Hair Styles,,,"Official site lists address, detailed services, hours, and all three social links."
Balyhairbraiding,5705 N 5th Street,Philadelphia,PA,19120,USA,beauty,braiding salon,hair braiding; walk-ins; human hair; appointments,"Philadelphia braiding business whose official Instagram profile lists its address, phone, walk-in policy, and human-hair offering.",,https://www.instagram.com/balysalon/,,,https://www.instagram.com/balysalon/,Balyhairbraiding,,,Official Instagram profile; website not identified.
Friends Child Care Center,1501 Cherry Street,Philadelphia,PA,19102,USA,childcare,early childhood education,infant care; toddler care; preschool; kindergarten preparation; PHLpreK; play-based learning; outdoor play,"Center City early childhood program serving children from 3 months through Kindergarten, with infant, toddler, and preschool programming and PHLpreK partnership.",https://www.friendschildcare.org/,https://www.instagram.com/friendschildcarecenter/,https://www.facebook.com/friends-child-care-center-19776767575,,https://www.friendschildcare.org/,Friends Child Care Center,Nonprofit status not explicitly stated; founded by named Quaker organizations,https://www.friendschildcare.org/,"Official site lists address, hours, programs, and social links."
"Spectrum Health Services, Inc.",5201 Haverford Avenue,Philadelphia,PA,19139,USA,health,community health center,primary care; dental; OB-GYN; podiatry; prenatal care; pediatric care; behavioral health; family planning; sliding-fee care,"Philadelphia nonprofit federally qualified community health center providing medical, dental, behavioral, and specialty care regardless of ability to pay.",https://www.spectrumhs.org/,,,,https://www.spectrumhs.org/,Spectrum Health Services,501(c)(3) nonprofit; Federally Qualified Health Center,https://www.spectrumhs.org/,One representative Philadelphia location; official site lists four locations.
Quality Community Health Care Inc.,2501 W Lehigh Avenue,Philadelphia,PA,19132,USA,health,community health center,preventive care; chronic illness management; medical care; dental care; family health services,"Community health care provider offering preventive, chronic-care, medical, and dental services; official site lists three Philadelphia locations.",https://www.qchc.org/,https://www.instagram.com/qchcphila/,https://www.facebook.com/QCHC2501/,,https://www.qchc.org/,Quality Community Health Care Inc.,Ownership designation not self-stated,https://www.qchc.org/,Main headquarters used to avoid duplicate organization records; official site notes some other locations temporarily closed.
Esperanza Health Center,4417 N 6th Street,Philadelphia,PA,19140,USA,health,community health center,bilingual healthcare; primary care; dental; behavioral health; holistic care; affordable care; sliding-fee care,"Multicultural ministry and community health center providing affordable, bilingual, holistic physical, mental, and spiritual healthcare to Latino and underserved Philadelphia communities.",https://esperanzahealth.com/,https://www.instagram.com/ehcphilly/,https://www.facebook.com/EsperanzaHealthCenter/,,https://esperanzahealth.com/,Esperanza Health Center,Ministry/nonprofit designation not explicitly stated,https://esperanzahealth.com/about/our-mission/,"Official site lists administrative address, mission, services, and social links."
Philadelphia Legal Assistance,718 Arch Street Suite 300N,Philadelphia,PA,19106,USA,law,legal aid,free legal help; housing; family court; unemployment compensation; consumer housing; public benefits; tax support,"Legal aid organization providing free, accessible legal assistance to low-income Philadelphians across housing, family, benefits, unemployment, and consumer issues.",https://philalegal.org/,https://www.instagram.com/phila_legal,https://www.facebook.com/philalegal,,https://philalegal.org/,Philadelphia Legal Assistance,LSC-funded organization,https://philalegal.org/,"Official site lists address, services, hours, and social links."
Community Legal Services of Philadelphia,1424 Chestnut Street,Philadelphia,PA,19102,USA,law,civil legal aid,public benefits; employment; housing; debt and consumer rights; utilities; family; criminal records; seniors,Community legal services organization providing free civil legal assistance to low-income Philadelphians and policy advocacy; a second North Philadelphia office is also listed.,https://clsphila.org/,https://www.instagram.com/CLSphila/,https://www.facebook.com/clsphila,,https://clsphila.org/,Community Legal Services of Philadelphia,Ownership designation not self-stated,https://clsphila.org/,Center City office used to avoid duplicate organization records.
"MacAlpine Carll and Co., LLC","The Washington, 530 Walnut St Suite 1180",Philadelphia,PA,19106,USA,finance,accounting and tax advisory,accounting; bookkeeping; payroll; tax preparation; strategic tax planning; outsourced CFO; business valuation; M&A advisory,"Philadelphia accounting and tax firm serving law firms and businesses with bookkeeping, payroll, tax, outsourced CFO, valuation, and advisory services.",https://www.macalpinecarll.com/,,https://www.facebook.com/profile.php?id=61552590665634,,https://www.macalpinecarll.com/lawfirms.php,"MacAlpine Carll and Co., LLC",LLC legal designation,https://www.macalpinecarll.com/lawfirms.php,Official site lists Philadelphia office and service details.
Travel Allure,7244 Castor Avenue Unit 8215,Philadelphia,PA,19149,USA,travel,luxury travel agency,destination weddings; personal luxury travel; group travel; cruises; itinerary planning; VIP support,"Philadelphia-based luxury travel agency planning destination weddings, personal and group travel, cruises, accommodations, transportation, and tailored itineraries.",https://www.travelallure.com/,https://www.instagram.com/travel_allure_/,https://www.facebook.com/TravelAllureAgency/,,https://www.travelallure.com/,Travel Allure,,,"Official site lists Philadelphia address, services, and social links."
Tree House Books,1430 W Susquehanna Avenue,Philadelphia,PA,19121,USA,retail,community bookstore and literacy center,free books; children’s books; literacy programs; out-of-school-time programs; traveling library; book donations,"North Philadelphia giving library and literacy center providing free books, literacy programming, and out-of-school-time programs for children, families, and adults.",https://www.treehousebooks.org/,https://www.instagram.com/treehousebooks/,http://www.facebook.com/treehousebooks,https://www.tiktok.com/@treehousebooks.org,https://www.treehousebooks.org/,Tree House Books,501(c)(3) PA registered nonprofit,https://www.treehousebooks.org/,"Official site lists address, community mission, programs, and social links."
