name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,notes
Virtue Restaurant,1462 E 53rd St,Chicago,IL,60615,USA,food,Southern American restaurant,"dine-in; dinner; bar; private events; seated dinner; receptions","Hyde Park Southern American restaurant focused on hospitality, heritage techniques, dinner, and event hosting.",https://www.virtuerestaurant.com/,https://www.instagram.com/virtuerestaurantchi/?hl=en,https://www.facebook.com/virtuerestaurant/,,https://www.virtuerestaurant.com/location/virtue-restaurant/,Virtue Restaurant official website,"Owner and Chef: Erick Williams",https://www.virtuerestaurant.com/location/virtue-restaurant/,"Ownership designation included exactly as stated on official About Us section; address and active hours verified on official location page."
Southern Chicago,2000 S Wabash Ave,Chicago,IL,60616,USA,food,American restaurant,"steaks; chops; brunch; dine-in; catering; private events; reservations","South Loop American restaurant serving steaks, chops, and brunch, with catering and private-event hosting.",https://www.southernchicagorestaurant.com/,https://www.instagram.com/thesouthernchicago/,https://www.facebook.com/share/1C1BUs2jDc/?mibextid=wwXIfr,,https://www.southernchicagorestaurant.com/location/southern-chicago/,Southern Chicago official website,,,,"Official location page lists Chicago address; official homepage lists catering, private events, and reservations."
Brandy's Braiding Bar and Beauty Supply,4800 W Fulton St,Chicago,IL,60644,USA,beauty,braiding salon and beauty supply,"braids; weaves; locs; natural hair; Fulani twists; walk-ins; beauty supply","Chicago braiding bar and beauty supply with a team of braiders, walk-ins, advance booking, and braid services.",https://www.brandysbraidingbar.com/,https://www.instagram.com/brandysbraidingbar/?hl=en,https://www.facebook.com/p/Brandys-Braiding-Bar-61559229233977/,,https://www.brandysbraidingbar.com/,Brandy's Braiding Bar official website,,,,"Official booking page lists active booking flow, services, and 4800 W Fulton St address."
CommunityHealth,2611 W Chicago Ave,Chicago,IL,60622,USA,health,free community health clinic,"primary care; medical care; free clinic; patient eligibility; gynecology; pharmacy; appointments","Community clinic providing quality medical care and patient resources, with multiple Chicago locations and appointment access.",https://communityhealth.org/,https://www.instagram.com/communityhealthchicago/,https://www.facebook.com/CommunityHealthChicago/,https://www.tiktok.com/@communityhealthchicago,https://communityhealth.org/,CommunityHealth official website,,,,"Primary listed location used; official site also lists four additional Chicago sites and appointment phone."
UIC Children's Center,1919 W Taylor St Rm 116,Chicago,IL,60612,USA,childcare,early childhood education,"preschool; childcare; early childhood education; classrooms; enrollment; childcare subsidy","Early childhood education and childcare for preschool children of UIC students, faculty, staff, and neighboring community.",https://childrenscenter.uic.edu/,,,,,https://childrenscenter.uic.edu/,UIC Children's Center official website,,,,"Official site states neighboring community eligibility, NAEYC accreditation link, enrollment, and contact address."
Hennessy & Roach P.C.,70 W Madison St Ste 1100,Chicago,IL,60602,USA,law,defense law firm,"workers compensation; auto; trucking; construction; general liability; labor employment; insurance coverage","Chicago-headquartered Midwest defense law firm serving clients across workers' compensation and civil litigation practice areas.",https://hennessyroach.com/,https://www.linkedin.com/company/hennessy-&-roach,,,https://hennessyroach.com/,Hennessy & Roach official website,,,,"Official site identifies Chicago headquarters, office address, and legal practice areas."
Grant Thornton LLP Chicago,171 N Clark St Suite 200,Chicago,IL,60601,USA,finance,CPA and accounting firm,"audit; tax; advisory; accounting; CPA; consulting","Chicago office of a licensed independent CPA firm providing accounting, tax, audit, and advisory services.",https://www.grantthornton.com/offices/illinois/chicago,,,,,https://www.grantthornton.com/offices/illinois/chicago,Grant Thornton official website,,,,"Official Chicago office page lists address and licensed independent CPA firm status."
Four Seasons Heating Air Conditioning Plumbing & Electric,5701 W 73 St,Chicago,IL,60638,USA,home trades,HVAC plumbing electrical contractor,"heating; cooling; HVAC repair; plumbing; electrical; sewer; duct cleaning; generators; 24/7 emergency service","Chicago HVAC contractor offering 24/7 heating, cooling, plumbing, electrical, sewer, duct-cleaning, and generator services.",https://www.fourseasonsheatingcooling.com/,https://instagram.com/fourseasonshvac/,https://www.facebook.com/FourSeasonsHVAC,,https://www.fourseasonsheatingcooling.com/,Four Seasons official website,,,,"Official site lists Chicago address, service categories, 24/7 availability, and Illinois license number."
Windy City Travel,1357 North Wells St,Chicago,IL,60610,USA,travel,travel agency,"vacations; destination weddings; honeymoons; cruises; escorted tours; group travel; corporate retreats; hotels; airfare","Chicago travel agency serving travelers since 1981 with vacation, cruise, group, wedding, corporate, and destination-planning services.",https://windycitytravel.com/,https://www.instagram.com/windycitytravel/,https://www.facebook.com/windycitytravel/,,https://windycitytravel.com/,Windy City Travel official website,,,,"Official site lists Chicago location, service categories, and longstanding Chicago service claim."
The Silver Room,1506 E 53rd St,Chicago,IL,60615,USA,retail,jewelry fashion and culture shop,"jewelry; apparel; gifts; art; cultural goods; in-store shopping","Hyde Park retail destination where art, culture, commerce, and community intersect, offering jewelry, apparel, and related goods.",https://www.thesilverroom.com/,https://www.instagram.com/thesilverroom/,https://www.facebook.com/thesilverroom/,,https://www.instagram.com/thesilverroom/,The Silver Room official Instagram,,,,"Official Instagram profile lists 1506 E 53rd Street Chicago location and store hours; official website linked separately."
The Mine Chicago,1431 W Lake St,Chicago,IL,60607,USA,nightlife,nightclub,"nightclub; dancing; late-night events; DJs; Friday nightlife; Saturday nightlife","Chicago nightclub and nightlife venue with late-night weekend hours and dancing/events.",https://www.theminechicago.com/,,,,,https://www.theminechicago.com/,The Mine Chicago official website,,,,"Official site search result lists Chicago address and weekend hours; no ownership designation inferred."
