Finding ID,Domain,Classification,Finding,Founder Decision,Constitutional Principle,Systems Affected,Dependencies,Proposed Workstream,Day 1 Impact,Verification Required,Status
AUDIT-1-SUMMARY,Identity & Authentication,P0/P1 Summary,Session invalidation; brute-force protection; phone OTP fallback; profile data validation; account recovery; rate limiting.,,,"Web, iOS, Android, API, DB as applicable",See proposed workstreams,,High,Code + API + applicable Playwright/device/human/failure/privacy/safety/accessibility tests,Not started
AUDIT-2-SUMMARY,Business Discovery,P0/P1 Summary,Confidence score staleness; business data accuracy; search injection; owner claim validation; source integrity.,,,"Web, iOS, Android, API, DB as applicable",See proposed workstreams,,High,Code + API + applicable Playwright/device/human/failure/privacy/safety/accessibility tests,Not started
AUDIT-3-SUMMARY,Maps & Location,P0/P1 Summary,Maps API key exposure; coordinate validation; safety-overlay accuracy; pin clustering failures; offline handling; location permission.,,,"Web, iOS, Android, API, DB as applicable",See proposed workstreams,,High,Code + API + applicable Playwright/device/human/failure/privacy/safety/accessibility tests,Not started
AUDIT-4-SUMMARY,Community & Social,P0/P1 Summary,Content moderation gaps; harassment detection; reporter protection; post permanence; privacy-boundary enforcement; community-space governance; event cancellation.,,,"Web, iOS, Android, API, DB as applicable",See proposed workstreams,,High,Code + API + applicable Playwright/device/human/failure/privacy/safety/accessibility tests,Not started
AUDIT-5-SUMMARY,Safety Systems,P0/P1 Summary,Report manipulation prevention; sundown verification; safety-score integrity for minority businesses; emergency-alert validation; false-report consequences.,,,"Web, iOS, Android, API, DB as applicable",See proposed workstreams,,High,Code + API + applicable Playwright/device/human/failure/privacy/safety/accessibility tests,Not started
AUDIT-6-SUMMARY,AI / KinfolkAI,P0/P1 Summary,Hallucination handling; source attribution; Ownership Integrity enforcement; proactive-AI controls; conversation-data deletion; AI-confidence display; knowledge currency; AI-generated-content labeling; rate limiting.,,,"Web, iOS, Android, API, DB as applicable",See proposed workstreams,,High,Code + API + applicable Playwright/device/human/failure/privacy/safety/accessibility tests,Not started
AUDIT-7-SUMMARY,Membership & Commerce,P0/P1 Summary,Subscription-state consistency; webhook-failure handling; family-plan boundaries; RevenueCat/Stripe synchronization; trial-abuse prevention; billing transparency; cancellation flow; revenue fraud.,,,"Web, iOS, Android, API, DB as applicable",See proposed workstreams,,High,Code + API + applicable Playwright/device/human/failure/privacy/safety/accessibility tests,Not started
AUDIT-8-SUMMARY,Data Architecture,P0/P1 Summary,Schema migration strategy; retention enforcement; PII handling; cross-table consistency; backup verification; connection-pool exhaustion; orphaned records; cascade deletes.,,,"Web, iOS, Android, API, DB as applicable",See proposed workstreams,,High,Code + API + applicable Playwright/device/human/failure/privacy/safety/accessibility tests,Not started
AUDIT-9-SUMMARY,Events & Experiences,P0/P1 Summary,Event-cancellation lifecycle; material-change notification; capacity enforcement; experience-completion tracking; booking-data integrity.,,,"Web, iOS, Android, API, DB as applicable",See proposed workstreams,,High,Code + API + applicable Playwright/device/human/failure/privacy/safety/accessibility tests,Not started
AUDIT-10-SUMMARY,Communications,P0/P1 Summary,Email retry; unsubscribe infrastructure; quiet-hours enforcement; duplicate notification route; CAN-SPAM compliance.,,,"Web, iOS, Android, API, DB as applicable",See proposed workstreams,,High,Code + API + applicable Playwright/device/human/failure/privacy/safety/accessibility tests,Not started
