test_id,slot,platform,device,os,app_version,build,install_type,network,permissions,journey,expected,actual,result,tester,timestamp_utc,evidence_path,notes
N01,ios-current,iOS,REQUIRED_CURRENT_IPHONE,REQUIRED_CURRENT_IOS,1.1.5,102,clean-or-existing-as-specified,REQUIRED,REQUIRED,Clean install and first launch,"Complete without crash, permanent loading, inaccessible action, or data loss",BLOCKED,BLOCKED,UNASSIGNED,,,
N02,ios-current,iOS,REQUIRED_CURRENT_IPHONE,REQUIRED_CURRENT_IOS,1.1.5,102,upgrade,REQUIRED,REQUIRED,Upgrade install and migration/session preservation,"Complete without crash, permanent loading, inaccessible action, or data loss",BLOCKED,BLOCKED,UNASSIGNED,,,
N03,ios-current,iOS,REQUIRED_CURRENT_IPHONE,REQUIRED_CURRENT_IOS,1.1.5,102,clean-or-existing-as-specified,REQUIRED,REQUIRED,Permanent reviewer login without OTP/2FA/paywall,"Complete without crash, permanent loading, inaccessible action, or data loss",BLOCKED,BLOCKED,UNASSIGNED,,,
N04,ios-current,iOS,REQUIRED_CURRENT_IPHONE,REQUIRED_CURRENT_IOS,1.1.5,102,clean-or-existing-as-specified,REQUIRED,REQUIRED,Every native tab and back/re-entry behavior,"Complete without crash, permanent loading, inaccessible action, or data loss",BLOCKED,BLOCKED,UNASSIGNED,,,
N05,ios-current,iOS,REQUIRED_CURRENT_IPHONE,REQUIRED_CURRENT_IOS,1.1.5,102,clean-or-existing-as-specified,REQUIRED,REQUIRED,Cold and warm deep links plus invalid-link recovery,"Complete without crash, permanent loading, inaccessible action, or data loss",BLOCKED,BLOCKED,UNASSIGNED,,,
N06,ios-current,iOS,REQUIRED_CURRENT_IPHONE,REQUIRED_CURRENT_IOS,1.1.5,102,clean-or-existing-as-specified,REQUIRED,REQUIRED,Image select/upload/preview/post/force-close/relaunch/persist,"Complete without crash, permanent loading, inaccessible action, or data loss",BLOCKED,BLOCKED,UNASSIGNED,,,
N07,ios-current,iOS,REQUIRED_CURRENT_IPHONE,REQUIRED_CURRENT_IOS,1.1.5,102,clean-or-existing-as-specified,REQUIRED,REQUIRED,Video select/upload/preview/post/force-close/relaunch/play,"Complete without crash, permanent loading, inaccessible action, or data loss",BLOCKED,BLOCKED,UNASSIGNED,,,
N08,ios-current,iOS,REQUIRED_CURRENT_IPHONE,REQUIRED_CURRENT_IOS,1.1.5,102,clean-or-existing-as-specified,REQUIRED,REQUIRED,"First upload succeeds, later upload fails, first remains","Complete without crash, permanent loading, inaccessible action, or data loss",BLOCKED,BLOCKED,UNASSIGNED,,,
N09,ios-current,iOS,REQUIRED_CURRENT_IPHONE,REQUIRED_CURRENT_IOS,1.1.5,102,clean-or-existing-as-specified,REQUIRED,REQUIRED,Legacy array/JSON/double-encoded/malformed media without crash,"Complete without crash, permanent loading, inaccessible action, or data loss",BLOCKED,BLOCKED,UNASSIGNED,,,
N10,ios-current,iOS,REQUIRED_CURRENT_IPHONE,REQUIRED_CURRENT_IOS,1.1.5,102,clean-or-existing-as-specified,REQUIRED,REQUIRED,Location/photo/video/notification permission denial and recovery,"Complete without crash, permanent loading, inaccessible action, or data loss",BLOCKED,BLOCKED,UNASSIGNED,,,
N11,ios-current,iOS,REQUIRED_CURRENT_IPHONE,REQUIRED_CURRENT_IOS,1.1.5,102,clean-or-existing-as-specified,REQUIRED,REQUIRED,Offline/slow/interrupted/timeout/429/500 recovery,"Complete without crash, permanent loading, inaccessible action, or data loss",BLOCKED,BLOCKED,UNASSIGNED,,,
N12,ios-current,iOS,REQUIRED_CURRENT_IPHONE,REQUIRED_CURRENT_IOS,1.1.5,102,clean-or-existing-as-specified,REQUIRED,REQUIRED,Expired session/401/logout/re-auth protected-route stability,"Complete without crash, permanent loading, inaccessible action, or data loss",BLOCKED,BLOCKED,UNASSIGNED,,,
N13,ios-current,iOS,REQUIRED_CURRENT_IPHONE,REQUIRED_CURRENT_IOS,1.1.5,102,clean-or-existing-as-specified,REQUIRED,REQUIRED,Background/foreground/lock/unlock/interrupted-upload lifecycle,"Complete without crash, permanent loading, inaccessible action, or data loss",BLOCKED,BLOCKED,UNASSIGNED,,,
N14,ios-current,iOS,REQUIRED_CURRENT_IPHONE,REQUIRED_CURRENT_IOS,1.1.5,102,clean-or-existing-as-specified,REQUIRED,REQUIRED,Twenty consecutive cold launches without crash/permanent loader,"Complete without crash, permanent loading, inaccessible action, or data loss",BLOCKED,BLOCKED,UNASSIGNED,,,
N15,ios-current,iOS,REQUIRED_CURRENT_IPHONE,REQUIRED_CURRENT_IOS,1.1.5,102,clean-or-existing-as-specified,REQUIRED,REQUIRED,Discover-to-engage-to-contribute-to-return flywheel,"Complete without crash, permanent loading, inaccessible action, or data loss",BLOCKED,BLOCKED,UNASSIGNED,,,
N16,ios-current,iOS,REQUIRED_CURRENT_IPHONE,REQUIRED_CURRENT_IOS,1.1.5,102,clean-or-existing-as-specified,REQUIRED,REQUIRED,Business-owner onboarding/listing/conversion path,"Complete without crash, permanent loading, inaccessible action, or data loss",BLOCKED,BLOCKED,UNASSIGNED,,,
N17,ios-current,iOS,REQUIRED_CURRENT_IPHONE,REQUIRED_CURRENT_IOS,1.1.5,102,clean-or-existing-as-specified,REQUIRED,REQUIRED,In-app account deletion using disposable test account,"Complete without crash, permanent loading, inaccessible action, or data loss",BLOCKED,BLOCKED,UNASSIGNED,,,
N18,ios-current,iOS,REQUIRED_CURRENT_IPHONE,REQUIRED_CURRENT_IOS,1.1.5,102,clean-or-existing-as-specified,REQUIRED,REQUIRED,Terms/report post/report user/block user/support moderation controls,"Complete without crash, permanent loading, inaccessible action, or data loss",BLOCKED,BLOCKED,UNASSIGNED,,,
N01,ios-older,iOS,REQUIRED_OLDER_IPHONE,REQUIRED_OLDER_SUPPORTED_IOS,1.1.5,102,clean-or-existing-as-specified,REQUIRED,REQUIRED,Clean install and first launch,"Complete without crash, permanent loading, inaccessible action, or data loss",BLOCKED,BLOCKED,UNASSIGNED,,,
